sep=;
version                 ;timestamp               ;host                    ;vars ;batch ;eval-only   ;pipeline    ;
2.1.0-native            ;2026-09-06T05:14:50Z    ;DESKTOP-KH0S3BP         ;3    ;1024  ;74457144    ;51215546    ;
2.1.0-native            ;2026-09-07T08:37:27Z    ;BATOU                   ;3    ;1024  ;163262237   ;110674632   ;
0.1.0                   ;2026-09-11T22:46:27Z    ;BATOU                   ;3    ;1024  ;177356515   ;73231207    ;
