sep=;
version                 ;timestamp               ;host                    ;vars ;batch-1     ;batch-256   ;map         ;
jvm-11-map              ;2026-08                 ;BATOU                   ;4    ;            ;            ;1244        ;
2.0.6-native            ;2026-08                 ;BATOU                   ;4    ;3546        ;1792        ;            ;
2.1.0-native            ;2026-08-31T07:15:52Z    ;BATOU                   ;4    ;2191.1      ;3126.2      ;            ;
2.1.0-native            ;2026-09-03T00:07:44Z    ;DESKTOP-KH0S3BP         ;4    ;1787.2      ;68597.9     ;            ;
