sep=;
version                 ;timestamp               ;host                    ;vars ;batch-1     ;batch-256   ;map         ;
jvm-11-map              ;2026-08                 ;BATOU                   ;2    ;            ;            ;9700        ;
2.0.6-native            ;2026-08                 ;BATOU                   ;2    ;18584       ;4680        ;            ;
2.1.0-native            ;2026-08-31T07:15:52Z    ;BATOU                   ;2    ;6117.9      ;36956.7     ;            ;
2.1.0-native            ;2026-09-02T19:00:28Z    ;DESKTOP-KH0S3BP         ;2    ;5336.1      ;222666.4    ;            ;
